company_id,company_name,year,sales,operating_profit,net_profit,equity_capital,reserves,borrowings,total_assets,other_income,interest,operating_activity,investing_activity
6,Larsen & Toubro,2021,25507,4743.83,4874.86,1761,19516,0,32400,604.45,312.31,7641.13,-5462.12
6,Larsen & Toubro,2022,43932,7698.14,6826.66,1841,20310,5870,38729,793.86,174.87,7130.86,-367.09
6,Larsen & Toubro,2023,45850,11218.05,6984.58,2134,28386,14399,49008,278.64,276.87,9388.13,-7243.91
6,Larsen & Toubro,2024,47316,11518.25,8732.13,2414,8687,3106,16309,633.42,63.84,8158.53,-4499.79
7,ITC,2020,33781,8204.64,4977.12,4262,22155,13735,54874,954.52,212.56,906.06,-7012.72
7,ITC,2021,25873,4525.1,5264.79,3115,8737,7294,21662,333.23,403.25,7136.71,-7751.22
7,ITC,2022,19683,4051.96,3403.67,1263,10398,4460,34199,220.46,146.09,9079.32,-160.54
7,ITC,2023,22403,4257.41,3577.9,2333,18272,4216,39569,747.28,67.71,10817.0,-7901.86
7,ITC,2024,13190,2991.92,2403.6,2947,10011,8060,30727,239.0,477.04,1389.01,-1864.8
8,Bharti Airtel,2020,6225,1610.65,833.49,4428,2734,6526,20606,196.53,65.53,6126.94,-6252.47
8,Bharti Airtel,2021,24203,6879.61,4263.78,4006,23790,4356,44279,94.75,104.11,2223.22,-7357.04
8,Bharti Airtel,2022,27850,4634.55,5056.89,3508,16724,11751,43746,766.35,484.57,8747.27,-7702.64
8,Bharti Airtel,2023,37937,9382.26,5539.2,2232,19488,0,28614,734.62,104.39,5684.43,-3728.3
8,Bharti Airtel,2024,35515,5564.02,3046.8,4351,19968,13757,57158,936.59,343.85,9045.14,-6040.86
9,Axis Bank,2020,46012,5600.58,4400.33,2832,21015,10864,46758,125.56,0.0,4846.66,-2603.24
9,Axis Bank,2021,17610,4899.84,2459.85,2044,14277,14905,54438,923.41,0.0,10719.0,-4921.56
9,Axis Bank,2022,6519,902.82,912.53,4651,4848,0,12728,101.52,0.0,2311.56,-1558.22
9,Axis Bank,2023,23929,3823.46,1938.5,4174,28787,2297,37540,313.17,0.0,7655.79,-5381.57
9,Axis Bank,2024,20903,4477.91,4510.19,3067,29835,1815,48104,922.43,0.0,9292.35,-7888.6
10,Wipro,2020,49721,7130.27,5213.2,1212,6219,7374,21116,396.72,313.68,9522.75,-4355.53
10,Wipro,2021,23207,3972.63,4306.03,1992,20305,6163,30892,728.44,261.36,1089.29,-3517.62
10,Wipro,2022,10345,2843.73,1925.67,3711,27682,11691,55781,300.62,333.55,11408.59,-7361.33
10,Wipro,2023,12731,1857.02,2475.15,4759,18747,8092,40562,512.54,493.01,7891.95,-2892.86
10,Wipro,2024,43716,6245.24,8502.7,4639,26847,14918,67723,420.92,259.54,548.08,-3050.53
